entry_id,date_collected,evidence_date,source_type,source_name,source_url,subject_state,subject_program,evidence_strength,mandate_explicit,paraphrase_or_quote,attribution,why_it_matters
QE001,2026-04-29,2024-07-24,industry_press_attribution,PLANADVISER,https://www.planadviser.com/small-business-bullishness-helping-drive-401k-growth/,CA,CalSavers,explicit,yes,"Guideline executive Jeff Rosenberger said the firm has been seeing an explosion of new and converting 401(k) plans, and he attributed that growth in part to small businesses establishing 401(k)s in advance of the June 30, 2022 CalSavers registration deadline for employers with 5 to 50 employees. Rosenberger also cited federal incentives and state mandates more broadly as drivers of the new-plan tailwind.",Jeff Rosenberger (Guideline) interviewed for 2024 PLANSPONSOR Recordkeeper Survey,Senior executive at second-largest small-business 401(k) recordkeeper directly attributing new-plan growth to CalSavers deadline pressure. Mechanism the DiD detects described by people watching plan-formation decisions in real time.
QE002,2026-04-29,2024-07-24,industry_press_attribution,PLANADVISER,https://www.planadviser.com/small-business-bullishness-helping-drive-401k-growth/,multiple,multiple,suggestive,yes,Recordkeeping executives identified state mandates as one of three named tailwinds (alongside SECURE 2.0 tax incentives and employer talent-attraction needs) driving strong defined contribution plan additions in 2023.,PLANADVISER 2024 Recordkeeper Survey synthesis,Industry-trade-press confirmation that state mandates are a recognized driver across multiple recordkeepers — not just one firm's marketing claim.
QE003,2026-04-29,2024-10-20,provider_data_attribution,Gusto,https://gusto.com/resources/states/oregon/oregonsaves,OR,OregonSaves,explicit,yes,"Gusto's 2023 employer data shows that when forced to decide on state auto-IRA mandates, many small and mid-sized companies opt to participate in a 401(k) plan instead of the state-managed program.",Gusto employer data summary 2023,Major payroll/benefits provider reports the same mechanism in its own customer data.
QE004,2026-04-29,2024-12-13,provider_data_attribution,Gusto/Patriot Software,https://www.patriotsoftware.com/blog/payroll/illinois-secure-choice-retirement-savings-program/,CO/OR,SecureSavings/OregonSaves,suggestive,yes,Gusto reports that Colorado and Oregon — both states with auto-IRA mandates — have seen an increase in 401(k) adoption among the smallest employers since their mandates took effect.,Gusto via Patriot Software blog,Provider attribution that ties the mechanism specifically to the smallest employer size bands. Consistent with project finding that 62% of mandate-induced plans are solo or micro.
QE005,2026-04-29,2025-09-22,industry_advisor_observation,Candoor HCM,https://blog.candoorhcm.com/state-401k-mandates,multiple,multiple,suggestive,yes,"As of June 2025, 20 states have passed mandatory retirement plan legislation and 14 have active programs (12 of which are auto-IRA). Trend creates a regulatory expectation that drives small businesses toward either the state program or a private 401(k) alternative.",Candoor HCM industry summary,Establishes the broader policy context.
QE006,2026-04-29,2026-02-19,provider_marketing_attribution,Guideline,https://www.guideline.com/education/articles/calsavers-vs-401k,CA,CalSavers,suggestive,yes,"Guideline's customer-facing marketing positions a 401(k) as the CalSavers alternative for employers facing the December 31, 2025 deadline, with up to $750 per employee in penalties cited as motivation.",Guideline customer-facing content,Marketing materials are not the strongest evidence but mechanism is being marketed against directly.
QE007,2026-04-29,2024-01-23,provider_marketing_attribution,ForUsAll,https://www.forusall.com/401k-blog/calsavers-vs-401-k-weighing-the-pros,CA,CalSavers,contextual,yes,ForUsAll's marketing offers help to California businesses to avoid CalSavers fines while qualifying for tax credits.,ForUsAll customer-facing content,Third independent provider with mandate-substitute marketing.
QE008,2026-04-29,2025-11-12,advisor_observation,Deschutes Investment Consulting,https://www.deschutesinvestment.com/blog/the-best-401k-options-for-oregon-small-businesses,OR,OregonSaves,explicit,yes,"Deschutes Investment Consulting describes a 20-employee Bend Oregon construction business that wanted to move away from OregonSaves and chose to set up a Traditional 401(k) with discretionary profit-sharing instead. Advisor frames the OregonSaves mandate as the trigger.",Deschutes Investment Consulting case description,Specific firm-level case description from a registered investment advisor citing the mandate as proximate cause.
QE009,2026-04-29,2026-03-31,state_program_official,CalSavers Retirement Savings Board,https://www.calsavers.com/home/about.html,CA,CalSavers,contextual,no,"As of March 31 2026 CalSavers reports detailed data monthly. The state program publishes statistics on registrations and exemption filings — exemption filings are how employers offering qualified plans report their non-participation in CalSavers.",CalSavers Board of Directors public statistics,"Directly relevant for future quantitative validation: CalSavers exemption-filing data, if obtainable through CPRA request, would provide a state-side counterpart to Form 5500."
QE010,2026-04-29,2022-04-21,independent_research,Michigan Retirement Disability Research Center,https://mrdrc.isr.umich.edu/publications/papers/pdf/wp425.pdf,OR,OregonSaves,contextual,no,"University of Michigan researchers found that OregonSaves meaningfully increased employee savings by reducing search costs, and that employers targeted by the mandate were disproportionately in low-wage high-turnover industries.",Chalmers Mitchell Reuter & Zhong (2022) MRDRC working paper,Academic confirmation of firm-side selection pattern visible in our dataset.
